FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,ProcessedBy,RakerNum,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180772,Walby,0.73,Y,44.97,9.92,11.35,M,Louis,2.12,5.28,Grany,21,,,,,,,,,
S180773,Walby,0.79,Y,42.3,10.03,9.65,F,Louis,,,,,,,,,,,,,
S180746,Walby,0.7,N,41.81,8.94,9.58,F,Louis,,,,,,,,,,,,,
S180747,Walby,1.15,N,47.94,10.16,10.28,F,Louis,,,,,,,,,,,,,
S180748,Walby,0.63,N,42.59,8.68,10.55,U,Louis,,,,,,,,,,,,,
S180749,Walby,0.52,N,40.03,8.37,9.24,F,Louis,,,,,,,,,,,,,
S180420,Watson,0.83,N,41.32,9.69,9.82,F,Grant,,,,,,,,,,,,,
S180419,Watson,0.74,N,41.52,9.83,10.19,F,Grant,,,,,,,,,,,,,
S180411,Watson,0.86,N,45,10.46,10.9,F,Grant,2.3,5.17,Grant,18,,,,,,,,,
S180418,Watson,0.7,N,42.79,9.57,9.47,F,Grant,,,,,,,,,,,,,
S180417,Watson,0.87,N,44.35,9.83,10.69,M,Grant,,,,,,,,,,,,,
S180416,Watson,0.83,Y,46.32,10.41,11.04,F,Grant,,,,,,,,,,,,,copepod?
S180415,Watson,1.38,Y,49.79,11.88,10.87,F,Grant,,,,,,,,,,,,,encysted mussel? on eye
S180414,Watson,0.73,N,44.16,9.83,10.18,F,Grant,,,,,,,,,,,,,
S180413,Watson,0.55,Y,38.83,8.49,9.57,F,Grant,,,,,,,,,,,,,mussel? on eye
S180412,Watson,0.51,N,39.11,8.52,9.37,F,Grant,,,,,,,,,,,,,
S180649,South_Rolly,0.6,N,45.65,7.88,10.57,M,Louis,2.01,4.86,Grant,20,,,,,,,,,
S180650,South_Rolly,0.47,N,40.76,7.05,9.44,M,Louis,,,,,,,,,,,,,
S180651,South_Rolly,0.5,N,42.19,7.69,9.98,F,Louis,,,,,,,,,,,,,
S180652,South_Rolly,1.36,N,52.63,11.6,13.58,M,Louis,2.67,6.24,Grant,21,,,,,,,,,
S180645,South_Rolly,0.88,N,51.56,9.07,11.67,F,Louis,,,,,,,,,,,,,
S180646,South_Rolly,0.78,Y,47.95,8.56,10.68,M,Louis,2.22,5.01,Grant,20,,,,,,,,,White spots on body
S180647,South_Rolly,1.66,Y,54.75,11.66,12.77,M,Louis,2.93,6.04,Grant,19,,,,,,,,,White spots on body
S180648,South_Rolly,1.7,N,57.94,11.69,13.86,M,Louis,3.19,6.59,Grant,23,,,,,,,,,
S180653,South_Rolly,0.74,N,46.48,7.91,10.71,M,Louis,2.65,4.87,Grant,21,,,,,,,,,
S180654,South_Rolly,0.46,N,40.09,7.47,9.45,M,Louis,,,,,,,,,,,,,
S180655,South_Rolly,0.61,N,43.66,8.11,10.4,M,Louis,2.06,4.68,Grant,22,,,,,,,,,
S180656,South_Rolly,0.58,N,44.87,8.12,9.71,F,Louis,,,,,,,,,,,,,
S180997,Finger,0.8,N,45.56,9.77,10.39,F,Louis,2.55,5.34,Grant,23,,,,,,,,,
S180998,Finger,0.53,N,39.64,8.47,8.64,F,Louis,2.12,4.26,Grant,20,,,,,,,,,
S180999,Finger,0.56,N,40.79,8.45,8.51,F,Louis,,,,,,,,,,,,,
S181000,Finger,0.5,N,36.99,7.58,9.06,U,Louis,,,,,,,,,,,,,
S180996,Finger,0.67,N,43.43,9.25,9.12,M,Louis,1.98,4.84,Grant,20,,,,,,,,,
S180995,Finger,0.98,N,46.75,10.5,10.25,F,Louis,2.68,5.6,Grant,18,,,,,,,,,
S180994,Finger,0.85,Y,46.12,9.62,10.3,M,Louis,,,,,,,,,,,,,Black spots end of the tail
S180993,Finger,1.71,Y,51.35,13.09,11.57,F,Louis,3.08,6.41,Grant,19,,,,,,,,,Black spots on left pectoral
S180832,Finger,0.44,N,36.01,7.79,8.71,U,Louis,1.97,4.12,Grant,21,,,,,,,,,
S180833,Finger,1.24,N,51.46,11.01,12.05,M,Louis,2.75,6.02,Grant,20,,,,,,,,,
S180834,Finger,1.19,N,49.98,10.76,10.4,F,Louis,2.57,5.68,Grant,20,,,,,,,,,
S180835,Finger,1.22,N,49.44,11.56,11.14,F,Louis,3.03,5.83,Grant,21,,,,,,,,,
S180371,Engineer,2.27,N,55.26,12.56,12.98,F,Grant,,,,,,,,,,,,,
S180372,Engineer,1.36,N,48.78,11.44,10.67,F,Grant,,,,,,,,,,,,,
S180373,Engineer,1.88,N,55.05,12.07,13.08,F,Grant,,,,,,,,,,,,,
S180374,Engineer,1.89,N,58.37,11.92,12.61,F,Grant,,,,,,,,,,,,,
S180380,Engineer,1.66,N,52.85,12.36,12.57,F,Grant,2.87,5.92,Grant,23,,,,,,,,,
S180379,Engineer,1.82,N,50.19,13.09,11.79,F,Grant,2.68,5.78,Grant,19,,,,,,,,,
S180375,Engineer,3.1,N,64.57,14.47,13.21,F,Grant,3.38,7.18,Grant,19,,,,,,,,,
S180378,Engineer,1.09,N,46.51,10.59,9.57,F,Grant,,,,,,,,,,,,,
S180377,Engineer,1.31,N,49.55,10.49,10,F,Grant,2.15,5.54,Grant,21,,,,,,,,,
S180376,Engineer,2.11,N,46.78,12.59,12.12,F,Grant,2.88,6.95,Grant,21,,,,,,,,,
S180696,Corcoran,0.88,N,43.01,9.83,10.2,F,Louis,2.98,5.65,Grant,19,,,,,,,,,
S180695,Corcoran,0.47,N,35.51,7.46,7.7,F,Louis,2,4.07,Grant,20,,,,,,,,,
S180694,Corcoran,0.4,Y,33.98,7.84,7.86,F,Louis,1.85,4.32,Grant,19,,,,,,,,,Little black spots
S180693,Corcoran,1.14,Y,46.84,10.59,13.5,M,Louis,3.47,5.56,Grant,21,,,,,,,,,Little black spots
S180692,Corcoran,0.64,N,42.69,8.68,10.52,M,Louis,2.45,4.92,Grant,19,,,,,,,,,
S180691,Corcoran,0.83,N,46.14,9.52,10.47,F,Louis,,,,,,,,,,,,,
S180690,Corcoran,1.1,Y,49.12,10.73,13.15,M,Louis,2.97,5.93,Grant,21,,,,,,,,,Little black spots
S180689,Corcoran,0.99,N,47.44,10.27,10.99,F,Louis,2.85,5.64,Grant,21,,,,,,,,,
S180531,Tern,1.58,Y,52.32,11.13,13.11,M,Louis,3.05,6.19,Grant,19,,,,,,,,,Little black spots
S180532,Tern,0.25,N,28.25,6.71,6.1,U,Louis,,,,,,,,,,,,,
S180533,Tern,0.45,N,35.49,8.55,7.36,M,Louis,1.92,4.33,Grant,18,,,,,,,,,
S180534,Tern,0.3,N,31.47,6.87,7.48,M,Louis,1.69,4.09,Grant,20,,,,,,,,,
S180535,Tern,0.38,N,34.08,7.29,6.62,F,Louis,1.79,4.09,Grant,16,,,,,,,,,
S180536,Tern,2.11,N,57.73,12.64,13.62,F,Louis,3.56,6.48,Grant,19,,,,,,,,,
S180537,Tern,2.5,N,59.04,13.93,11.16,F,Louis,3.35,7.01,Grant,18,,,,,,,,,
S180538,Tern,1.21,N,46.69,11.14,8.52,F,Louis,,,,,,,,,,,,,
S180539,Tern,1.44,N,48.81,11.5,8.67,F,Louis,2.81,5.54,Grant,18,,,,,,,,,
S180540,Tern,0.49,N,35.7,8.06,7.26,M,Louis,,,,,,,,,,,,,
S180110,Arc,0.88,N ,47.04,10.63,9.74,F,Louis,,,,,,,,,,,,,
S180109,Arc,1.02,N ,48,11.13,8.91,F,Louis,,,,,,,,,,,,,
S180108,Arc,0.65,N ,43.99,9.39,8.73,F,Louis,,,,,,,,,,,,,
S180107,Arc,0.74,N ,41.22,9.65,8.47,U,Louis,,,,,,,,,,,,,Seems like little tumor on the left side
S180106,Arc,0.8,N ,43.97,10.15,9.56,M,Louis,,,,,,,,,,,,,
S180105,Arc,1.26,N ,48.05,11.32,9.85,F,Louis,,,,,,,,,,,,,
S180104,Arc,3.08,N ,57.72,14.44,11.3,F,Louis,,,,,,,,,,,,,
S180103,Arc,3.74,N ,62.04,15.85,11.24,F,Louis,,,,,,,,,,,,,
S180102,Arc,2.96,N ,60.54,15.92,11.2,F,Louis,,,,,,,,,,,,,
S180101,Arc,1.74,N ,54.42,13.73,11.33,U,Louis,,,,,,,,,,,,,
S180734,Long,0.64,N,42.88,8.24,9.67,F,Grant,1.85,4.55,Grant,20,,,,,,,,,
S180735,Long,0.36,N,37.52,6.82,9.04,M,Grant,1.63,3.96,Grant,21,,,,,,,,,
S180736,Long,0.95,N,50.16,9.64,11.37,M,Grant,2.66,5.3,Grant,24,,,,,,,,,
S180737,Long,0.96,N,50.26,9.46,11.22,M,Grant,2.39,5.04,Grant,24,,,,,,,,,
