FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,RakerNum,ProcessedBy,Scale ,Caudal Peduncle depth PINK ,Mouth Length  YELLOW ,Snout Length DARK BLUE,Eye Length GREEN ,Head length RED ,Standard Length BLACK ,Caudal peduncle,Jaw Length,Snout Length,Eye Diameter,Head Length,SL,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180193,Arc,0.65,N,37.12,8.94,7.71,M,Grant,,,,,1882.45,64.79,116.85,131.34,147.32,486.89,1580.51,0.172089564,0.310366809,0.348853887,0.391298574,1.29323488,4.198013227,,,,,,,,,
S180194,Arc,0.87,N,46.57,9.33,8.43,F,Grant,,,,,1868.11,65.5,116.95,130.75,134.79,478.71,1866.01,0.175310876,0.313016899,0.349952626,0.360765694,1.281268234,4.994379346,,,,,,,,,
S180195,Arc,0.48,N,38.24,8.14,8.09,F,Grant,,,,,1872.52,58.91,94.49,103.86,124.97,421,1550.97,0.157301391,0.252307052,0.277326811,0.3336947,1.124153547,4.141397689,,,,,,,,,
S180196,Arc,0.65,N,37.66,8.65,7.48,F,Grant,,,,,1880.34,66.33,90.07,105.01,125.12,420,1564.18,0.176377676,0.239504558,0.279231416,0.332705787,1.116819299,4.159300977,,,,,,,,,
S180197,Arc,0.52,N,37.61,7.94,7.45,M,Grant,,,,,1876.21,63.05,94.91,111.35,125.87,415.15,1508.43,0.168024901,0.252930109,0.296741836,0.335436865,1.1063527,4.019885834,,,,,,,,,
S180668,Corcoran,0.98,N,46.17,10.56,10.48,F,Louis,,,,,1842.94,80.4,145.63,137.66,156.36,508.1,1842.63,0.218129728,0.395102391,0.373479332,0.424213485,1.378503912,4.999158953,,,,,,,,,
S180669,Corcoran,1.02,N,46.95,10.36,11.41,M,Louis,,,,,1842.94,72.06,146.95,150.74,161.12,552.81,1834.75,0.195502838,0.398683625,0.408966109,0.437127633,1.49980466,4.977780069,,,,,,,,,
S180670,Corcoran,0.69,N,44.8,8.94,9.98,F,Louis,,,,,1838.94,66.75,129.2,130.92,146.24,479.41,1749.29,0.181490424,0.35128933,0.355965937,0.397620368,1.303495492,4.756245446,,,,,,,,,
S180671,Corcoran,0.44,N,36.93,7.74,8.45,U,Louis,,,,,1821.76,54.33,105.89,131.03,123.15,434,1457.59,0.149114044,0.290625549,0.359624759,0.337997321,1.191155805,4.000499517,,,,,,,,,
S180672,Corcoran,0.46,N,37.47,7.83,8.38,F,Louis,,,,,1840.16,63.25,108.1,116.96,126.4,406.12,1492.83,0.171860056,0.293724459,0.317798452,0.343448396,1.103491001,4.056250543,,,,,,,,,
S180673,Corcoran,0.43,N,36.2,8.14,8.79,M,Louis,,,,,1848.34,67.51,113.54,115.43,132.73,434.67,1425.26,0.182623327,0.307140461,0.312253157,0.359051906,1.175838861,3.855513596,,,,,,,,,
S180674,Corcoran,0.29,N,31.59,6.86,7.89,U,Louis,,,,,1836.63,53.01,89.27,101.21,102.31,364.58,1266.15,0.144313226,0.24302663,0.275531816,0.278526432,0.992524352,3.446938142,,,,,,,,,
S180675,Corcoran,0.44,N,34.88,8.18,8.73,M,Louis,,,,,1836.79,62.95,125.51,125.64,126.1,452,1421.1,0.171358729,0.341655824,0.342009702,0.343261886,1.230407396,3.868433517,,,,,,,,,
S180677,Corcoran,1.07,N,47.65,11.36,10.6,F,Louis,,,,,1830.63,81.22,148.01,127.94,142.23,512.69,1860.97,0.221836199,0.404259736,0.349442542,0.388472821,1.400310276,5.082867647,,,,,,,,,
S180678,Corcoran,0.7,N,40.82,9.59,9.94,M,Louis,,,,,1830.8,71.57,162.37,112.18,163,509.4,1617.43,0.195461001,0.443440026,0.306368801,0.445160586,1.391195106,4.4172766,,,,,,,,,
S180679,Corcoran,1.26,N,51.12,11.51,10.88,F,Louis,,,,,1850.19,77.88,137.32,129.36,136,511.84,2026.7,0.210464871,0.371097023,0.349585718,0.367529821,1.383209292,5.477005064,,,,,,,,,
